                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4776,                 2.1387,                 2.8441,                0.73534,                0.69181,                0.73317,                0.34263,                 2.0528,                0.96883,                  1.524,             0.00066486,             0.00066486,             0.00066486
                      2,                 1.9341,                0.90296,                 1.3165,                0.86767,                0.84399,                0.89078,                0.47518,                 1.5839,                0.82718,                 1.2209,              0.0013183,              0.0013183,              0.0013183
                      3,                 1.6517,                0.79833,                 1.1623,                0.92008,                0.89201,                0.93203,                0.55624,                 1.3799,                0.70035,                 1.1073,              0.0019586,              0.0019586,              0.0019586
                      4,                 1.5123,                0.71907,                 1.0878,                0.95074,                0.92085,                0.95979,                0.59296,                 1.3586,                0.63826,                  1.052,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4197,                0.67077,                 1.0442,                0.95588,                0.92144,                0.96093,                0.61579,                 1.2525,                0.59189,                 1.0063,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4013,                0.66139,                 1.0354,                0.95491,                0.93073,                0.96261,                0.59904,                 1.3123,                0.60899,                 1.0228,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3607,                0.62051,                 1.0094,                0.96031,                0.93675,                0.96823,                0.63011,                 1.2404,                0.57232,                0.99049,               0.001901,               0.001901,               0.001901
                      8,                 1.3165,                0.60777,                 1.0057,                0.95455,                0.93319,                0.96191,                 0.6184,                 1.2533,                0.57145,                0.99786,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3143,                 0.6023,                0.99586,                 0.9627,                0.94083,                 0.9693,                 0.6453,                 1.1738,                0.53933,                0.97229,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3177,                0.60127,                0.99262,                0.95704,                0.94048,                0.96959,                0.65485,                 1.1668,                0.54435,                0.97167,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2762,                0.57975,                0.98225,                0.96259,                0.94928,                0.97449,                0.66103,                 1.1571,                0.53568,                0.96296,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2791,                0.57753,                0.97606,                0.95825,                0.93797,                0.96884,                0.64043,                 1.2011,                0.54588,                0.97011,               0.001802,               0.001802,               0.001802
                     13,                 1.2608,                0.57071,                0.97489,                 0.9641,                0.94809,                0.97543,                0.66753,                  1.153,                0.52693,                0.95721,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2344,                0.56539,                0.96436,                0.96703,                0.94499,                0.97481,                0.68297,                 1.1254,                 0.5254,                0.94724,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2331,                0.56255,                0.96304,                0.96666,                0.95445,                0.97549,                0.67596,                 1.1181,                0.51896,                0.93929,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2136,                0.55821,                0.95774,                 0.9651,                0.94983,                0.97857,                 0.6809,                 1.1371,                0.53308,                0.94126,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2159,                0.56397,                0.94796,                0.96902,                0.95527,                0.97992,                0.69129,                    1.1,                0.51662,                0.93131,               0.001703,               0.001703,               0.001703
                     18,                 1.1811,                0.54885,                0.94631,                0.96739,                0.95521,                0.98123,                0.69074,                  1.109,                 0.5127,                0.93224,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1805,                0.54484,                0.94063,                0.96709,                0.95432,                0.97981,                0.68712,                 1.0936,                0.52341,                0.93043,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1854,                0.54372,                 0.9364,                0.96968,                0.95655,                0.98174,                0.69453,                 1.0971,                0.50444,                0.92236,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1746,                0.53659,                0.93588,                0.96876,                0.95644,                0.98052,                0.69303,                 1.1015,                0.51266,                  0.926,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1964,                0.53775,                0.93649,                0.97045,                0.95799,                0.98278,                0.70572,                  1.065,                0.49264,                0.92101,               0.001604,               0.001604,               0.001604
                     23,                 1.1846,                0.53558,                0.93962,                0.97006,                0.96103,                0.98235,                0.70491,                 1.0589,                0.48873,                 0.9156,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1613,                0.52372,                0.92599,                0.96893,                0.95797,                0.98183,                 0.7086,                 1.0666,                0.49607,                0.91521,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1532,                0.52399,                0.92869,                0.97129,                0.95833,                0.98195,                0.70116,                 1.0631,                0.48301,                0.91638,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1654,                0.52499,                0.93202,                0.97039,                0.95975,                0.98205,                0.69602,                 1.0796,                0.50023,                0.91758,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1457,                0.51894,                0.92635,                0.97064,                0.95454,                0.98102,                0.69649,                 1.0666,                0.50238,                0.91249,               0.001505,               0.001505,               0.001505
                     28,                 1.1357,                0.51231,                 0.9254,                0.97227,                0.96271,                0.98396,                0.70456,                 1.0836,                0.48068,                0.91653,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.157,                0.51531,                0.92673,                 0.9735,                0.96246,                0.98393,                 0.7094,                 1.0443,                0.46994,                0.91013,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1246,                0.50336,                 0.9195,                0.97181,                0.96176,                0.98395,                0.70549,                  1.066,                0.47494,                0.91085,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1232,                0.50151,                0.92013,                0.97149,                0.96496,                0.98412,                0.71024,                 1.0426,                 0.4752,                 0.9043,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1199,                0.49884,                0.91604,                0.97383,                0.96322,                0.98429,                0.71629,                 1.0207,                0.46168,                0.90173,               0.001406,               0.001406,               0.001406
                     33,                 1.1284,                0.50252,                0.92731,                0.97191,                0.96168,                0.98319,                0.70392,                 1.0638,                0.47906,                0.90937,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1263,                0.49991,                0.92065,                0.97303,                0.96345,                 0.9838,                0.71505,                 1.0288,                0.47214,                0.90372,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1156,                0.49597,                0.91414,                0.97279,                0.96489,                0.98424,                0.70104,                 1.0746,                0.47064,                0.91308,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1254,                0.49634,                0.91667,                0.97422,                 0.9641,                0.98427,                0.70279,                 1.0786,                0.46522,                0.91164,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1154,                0.49042,                0.91581,                 0.9738,                0.96348,                0.98404,                0.70726,                 1.0758,                0.46402,                0.91334,               0.001307,               0.001307,               0.001307
                     38,                 1.0874,                0.48046,                0.90837,                0.97518,                  0.967,                0.98521,                   0.72,                 1.0107,                0.44942,                0.89937,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0873,                0.47863,                0.90463,                0.97405,                0.96447,                0.98439,                0.72855,                0.98981,                0.44591,                0.89594,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0963,                0.48568,                0.91258,                0.97451,                0.96776,                0.98539,                0.72555,                 1.0023,                0.45133,                0.89447,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1091,                0.48767,                0.90999,                 0.9732,                0.96554,                0.98452,                0.71518,                 1.0417,                0.46062,                0.90424,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0965,                0.48084,                0.90941,                0.97526,                0.96666,                0.98534,                0.71961,                 1.0239,                0.45225,                0.89795,               0.001208,               0.001208,               0.001208
                     43,                 1.0877,                0.47675,                0.90935,                0.97604,                0.96732,                0.98557,                0.72658,                  1.006,                0.44511,                0.89575,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0785,                0.47744,                0.90419,                0.97667,                0.96572,                0.98525,                0.72654,                 1.0036,                0.44106,                0.89555,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0851,                0.47722,                0.90681,                0.97702,                0.96711,                0.98562,                0.72123,                 1.0119,                 0.4438,                0.89492,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0749,                 0.4749,                0.90782,                0.97536,                0.96669,                0.98548,                 0.7149,                 1.0403,                0.44787,                0.89993,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0872,                0.47587,                0.90792,                0.97549,                0.96596,                0.98516,                0.71461,                 1.0424,                 0.4541,                0.90152,               0.001109,               0.001109,               0.001109
                     48,                 1.0915,                0.47898,                0.90577,                0.97569,                0.96872,                0.98533,                0.72459,                 1.0113,                0.44154,                0.89745,              0.0010892,              0.0010892,              0.0010892
